Category,State/UT,Number of Convicts Admitted During the year,Number of Habitual Offenders,year,Agriculture,Carpentry,Canning,Tailoring,Weaving,Making of Soap & Phenyl,Handloom,Others,No. of prisoners to whom financial assistance provided on release,No. of convicts rehabilitated,No. of prisoners to whom legal aid provided,Wages paid per day to convicts (in Rs.) - Skilled,Wages paid per day to convicts (in Rs.) - Semi Skilled,Wages paid per day to convicts (in Rs.) - Unskilled,16 - 18 Years - Male,16 - 18 Years - Female,18 - 30 Years - Male,18 - 30 Years - Female,30 - 50 Years - Male,30 - 50 Years - Female,50 Years & Above - Male,50 Years & Above - Female,State/UT_Mapped
State,Andhra Pradesh,6833,431,2014,0,0,0,318,257,0,0,2638,0,188,1846,70.0,50.0,30.0,0,0,707,38,1378,78,377,26,1
State,Arunachal Pradesh,29,0,2014,7,0,0,0,0,0,0,2,0,0,5,75.0,0.0,55.0,0,0,15,0,13,0,4,0,2
State,Assam,2330,25,2014,0,0,82,38,74,0,0,130,100,50,821,75.0,0.0,55.0,0,0,715,23,1880,65,438,20,3
State,Bihar,5447,66,2014,198,12,0,27,22,11,0,1338,60,1,614,121.0,87.0,80.0,0,0,1068,20,2323,69,943,23,4
State,Chhattisgarh,4568,16,2014,88,0,0,234,415,53,0,898,0,0,2597,30.0,0.0,25.0,0,0,2874,95,2965,193,983,46,5
State,Goa,120,15,2014,6,0,0,6,0,0,0,85,0,0,126,80.0,60.0,50.0,0,0,45,3,78,4,14,1,6
State,Gujarat,5748,1,2014,5,512,0,911,1147,0,237,1627,136,69,1591,42.0,36.0,30.0,0,0,925,18,2066,94,670,64,7
State,Haryana,5195,54,2014,26,0,6,6,0,5,8,1557,0,70,3640,40.0,25.0,20.0,0,0,3160,99,3137,158,875,88,8
State,Himachal Pradesh,533,4,2014,0,21,0,11,18,0,0,47,8,7,384,0.0,0.0,170.0,0,0,223,4,505,17,144,11,9
State,Jharkhand,2733,414,2014,403,35,0,115,198,30,280,1589,0,22,1142,121.0,87.0,80.0,0,0,70,0,210,6,57,6,10
